grammy_year,category,work_title,artist,winner,match_type,wasabi_title,wasabi_artist,wasabi_album,genre,album_genre,bpm,gain,publication_date,language,decade
1959,Best Country & Western Performance,Set Him Free,Skeeter Davis,False,song,Set Him Free,Skeeter Davis,I'll Sing You A Song And Harmonize Too,,Country,98.0,-17.0,1994-05-23,,1950s
1959,Best Country & Western Performance,The Battle Of New Orleans,Johnny Horton,True,song,The Battle Of New Orleans,Johnny Horton,American Originals,"[""Parody music"",""Country music""]",Country,177.0,-14.0,2007-12-10,,1950s
1959,Best Rhythm & Blues Performance,A Big Hunk O' Love,Elvis Presley,False,song,A Big Hunk O' Love,Elvis Presley,"Elvis' Gold Records, Vol. 2","[""Rock and roll""]",Rock &apos;N&apos; Roll,173.0,-10.9,2007-02-24,eng,1950s
1959,Best Rhythm & Blues Performance,Guess Who,Jesse Belvin,False,song,Guess Who?,Jesse Belvin,Other Songs,,,,,0000-00-00,,1950s
1959,Best Rhythm & Blues Performance,Midnight Flyer,"Nat ""King"" Cole",False,song,Midnight Flyer,Nat King Cole,The Classic Singles,,,124.0,,2008-06-24,,1950s
1959,Best Rhythm & Blues Performance,Charlie Brown,The Coasters,False,song,Charlie Brown,The Coasters,Baby That Is Rock 'N' Roll,,,128.0,-20.4,2008-07-14,eng,1950s
1959,Best Rhythm & Blues Performance,What A Diff'rence A Day Makes,Dinah Washington,True,song,What A Diff'rence A Day Makes,Dinah Washington,Other Songs,,,93.0,-17.0,2000-06-27,eng,1950s
1960,Best Album Created For Children,Folk Songs For Young People,Pete Seeger,False,album,Skip To My Lou,Pete Seeger,Folk Songs For Young People,,,119.8,-19.6,2002-09-24,,1960s
1960,Best Performance - Folk,Greenfields (Album),The Brothers Four,False,song,Greenfields,The Brothers Four,The Brothers Four,,Folk,125.0,-14.9,2006-10-16,,1960s
1960,Best Performance - Folk,Here We Go Again,The Kingston Trio,False,album,Molly Dee,The Kingston Trio,Here We Go Again!,,Folk,,,2010-01-01,,1960s
1960,Record Of The Year,Mack The Knife (Single),Ella Fitzgerald,False,song,Mack The Knife,Ella Fitzgerald,Ken Burns's Jazz: Ella Fitzgerald,,,140.0,-18.2,2007-09-10,eng,1960s
1960,Record Of The Year,Are You Lonesome Tonight? (Single),Elvis Presley,False,song,Are You Lonesome Tonight?,Elvis Presley,"Elvis' Gold Records, Vol. 3","[""Pop music""]",Rock &apos;N&apos; Roll,74.0,-12.9,2007-02-24,eng,1960s
1960,Record Of The Year,Nice 'N Easy (Single),Frank Sinatra,False,song,Nice 'N' Easy,Frank Sinatra,Nice 'N' Easy,,Classic Pop,108.0,-18.6,2000-03-02,eng,1960s
1960,Record Of The Year,Georgia On My Mind (Single),Ray Charles,False,song,Georgia On My Mind,Ray Charles,The Genius Hits The Road,"[""Soul music"",""Blues"",""Traditional pop music"",""Jazz""]",R&amp;B,130.0,-12.2,2006-03-04,eng,1960s
